down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,go_for_it
4.0,1,8.0,1145.0,-3.0,3,0
4.0,1,12.0,900.0,0.0,4,1
4.0,17,77.0,716.0,-7.0,4,0
4.0,9,44.0,431.0,7.0,4,0
4.0,10,89.0,338.0,-7.0,4,0
4.0,21,88.0,3514.0,0.0,1,0
4.0,9,58.0,3457.0,0.0,1,0
4.0,1,69.0,3387.0,0.0,1,0
4.0,2,78.0,3126.0,-7.0,1,0
4.0,8,38.0,2760.0,7.0,1,0
4.0,5,87.0,2706.0,-7.0,1,0
4.0,9,22.0,2593.0,7.0,2,0
4.0,1,36.0,2390.0,-10.0,2,1
4.0,20,80.0,2239.0,3.0,2,0
4.0,4,34.0,2007.0,3.0,2,0
4.0,9,56.0,1922.0,-6.0,2,0
4.0,15,76.0,1657.0,0.0,3,0
4.0,2,76.0,1530.0,0.0,3,0
4.0,4,19.0,1191.0,0.0,3,0
4.0,7,60.0,1038.0,-4.0,3,0
4.0,4,42.0,776.0,4.0,4,0
4.0,6,74.0,362.0,-3.0,4,0
4.0,9,72.0,217.0,3.0,4,0
4.0,5,47.0,115.0,-3.0,4,1
4.0,4,47.0,96.0,3.0,4,0
4.0,3,8.0,3266.0,0.0,1,0
4.0,3,3.0,2746.0,-3.0,1,0
4.0,7,73.0,2655.0,0.0,2,0
4.0,3,34.0,2426.0,-7.0,2,1
4.0,6,73.0,2244.0,0.0,2,0
4.0,10,15.0,1825.0,0.0,2,0
4.0,4,4.0,1444.0,3.0,3,0
4.0,5,38.0,1320.0,-6.0,3,0
4.0,1,76.0,1219.0,6.0,3,1
4.0,3,37.0,955.0,6.0,3,1
4.0,9,15.0,900.0,6.0,4,0
4.0,7,61.0,800.0,-9.0,4,0
4.0,5,62.0,753.0,9.0,4,0
4.0,3,67.0,665.0,-9.0,4,0
4.0,4,69.0,422.0,-16.0,4,0
4.0,1,33.0,120.0,16.0,4,1
4.0,1,61.0,3066.0,-7.0,1,0
4.0,5,72.0,2964.0,7.0,1,0
4.0,10,80.0,2588.0,-14.0,2,0
4.0,9,66.0,2515.0,14.0,2,0
4.0,3,74.0,2387.0,-14.0,2,0
4.0,7,54.0,2324.0,14.0,2,0
4.0,11,84.0,2223.0,-14.0,2,0
4.0,2,3.0,1825.0,14.0,2,0
4.0,4,68.0,1707.0,-14.0,3,0
4.0,6,8.0,1253.0,14.0,3,0
4.0,10,64.0,1145.0,-17.0,3,0
4.0,10,78.0,727.0,-24.0,4,0
4.0,20,68.0,590.0,24.0,4,0
4.0,3,28.0,445.0,-24.0,4,1
4.0,5,5.0,360.0,-24.0,4,1
4.0,3,67.0,3513.0,0.0,1,0
4.0,35,91.0,3264.0,0.0,1,0
4.0,4,62.0,2996.0,-7.0,1,0
4.0,11,81.0,2700.0,-14.0,2,0
4.0,1,44.0,2518.0,14.0,2,1
4.0,1,64.0,2182.0,-14.0,2,0
4.0,6,11.0,1835.0,14.0,2,0
4.0,10,74.0,1804.0,-17.0,2,0
4.0,14,78.0,1667.0,-17.0,3,0
4.0,4,20.0,1459.0,17.0,3,0
4.0,2,60.0,1303.0,-20.0,3,1
4.0,3,46.0,1113.0,20.0,3,0
4.0,9,48.0,900.0,-20.0,4,0
4.0,2,59.0,683.0,20.0,4,0
4.0,1,76.0,587.0,-20.0,4,0
4.0,10,80.0,292.0,-27.0,4,0
4.0,7,17.0,147.0,-27.0,4,1
4.0,8,31.0,3363.0,0.0,1,0
4.0,14,30.0,3063.0,0.0,1,0
4.0,20,20.0,2839.0,3.0,1,0
4.0,6,8.0,2711.0,6.0,1,0
4.0,12,62.0,2576.0,-9.0,2,0
4.0,10,71.0,1745.0,9.0,3,0
4.0,1,44.0,1525.0,-9.0,3,1
4.0,3,35.0,1408.0,-9.0,3,0
4.0,10,80.0,1388.0,6.0,3,0
4.0,9,39.0,1302.0,-6.0,3,0
4.0,15,59.0,1095.0,6.0,3,0
