down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,10,32.0,1914.0,-4.0,2,CAR,field_goal,0.427483856610826,1.4263828115777666,0
4.0,1,15.0,1436.0,8.0,3,ATL,run,0.8343182832830489,1.88546637937735,1
4.0,1,21.0,973.0,8.0,3,ATL,run,0.8386872128134111,1.8924524581438575,1
4.0,9,80.0,346.0,8.0,4,ATL,punt,0.7940076248413026,0.211928307569458,0
4.0,10,17.0,164.0,-8.0,4,CAR,pass,0.1390910108853968,-1.857102841188218,1
4.0,1,73.0,41.0,8.0,4,ATL,punt,0.988910231225092,-0.9392284555818,0
4.0,1,21.0,3126.0,0.0,1,DET,run,0.5848054026937325,1.9893834131331056,1
4.0,5,12.0,3009.0,0.0,1,DET,field_goal,0.594123526081028,0.1689476551985658,0
4.0,5,64.0,2891.0,-3.0,1,MIN,punt,0.3426334535977356,0.4698818911026017,0
4.0,2,48.0,2578.0,-3.0,2,MIN,punt,0.3836803964346231,-0.6839211201080042,0
4.0,1,77.0,2487.0,3.0,2,DET,punt,0.5284421230448918,-0.938411443160584,0
4.0,14,66.0,2408.0,-3.0,2,MIN,punt,0.3435548623177125,0.2487602935767567,0
4.0,21,83.0,1686.0,3.0,3,DET,punt,0.48691191181948,-0.0945522897163715,0
4.0,5,8.0,1422.0,-3.0,3,MIN,field_goal,0.4801169575279136,0.101594784785894,0
4.0,2,58.0,1207.0,-7.0,3,DET,punt,0.2285665598746156,-1.0491000818455387,0
4.0,19,80.0,1092.0,7.0,3,MIN,punt,0.6307842262209831,0.5868695927755754,0
4.0,1,42.0,949.0,-7.0,3,DET,punt,0.2704433963446357,-1.5881565674754468,0
4.0,1,28.0,601.0,7.0,4,MIN,field_goal,0.8254297785314367,1.20671330205197,0
4.0,7,58.0,267.0,-17.0,4,DET,pass,0.016480141240878,2.867746692232694,1
4.0,6,30.0,162.0,-17.0,4,DET,field_goal,0.0120637763128264,1.217591266298917,0
4.0,2,25.0,138.0,14.0,4,MIN,pass,0.9894833166485152,-1.6220832547401702,1
4.0,1,66.0,3522.0,0.0,1,WAS,punt,0.4562605861913928,-0.2882746539172818,0
4.0,8,58.0,3380.0,0.0,1,STL,punt,0.4617840512389237,1.05937213346819,0
4.0,3,3.0,3001.0,0.0,1,WAS,field_goal,0.5684507709148306,0.0320393521662678,0
4.0,16,52.0,2645.0,-3.0,2,STL,punt,0.385855173067257,-0.9367330694894084,0
4.0,10,10.0,2282.0,3.0,2,WAS,field_goal,0.671243867705248,0.1380576197630909,0
4.0,10,63.0,1743.0,1.0,3,STL,punt,0.4771675015188768,0.9805256958302916,0
4.0,5,5.0,1292.0,-1.0,3,WAS,field_goal,0.5420262882068297,0.0563457088058636,0
4.0,12,96.0,675.0,2.0,4,WAS,punt,0.433276872209732,-0.0686669550793506,0
4.0,7,46.0,565.0,-2.0,4,STL,punt,0.4532743578972955,-1.103131139954697,0
4.0,1,20.0,227.0,2.0,4,WAS,run,0.7262066232221634,2.053011847607216,1
4.0,1,2.0,120.0,2.0,4,WAS,run,0.8336305655204576,-2.750794792166169,1
4.0,10,96.0,100.0,-2.0,4,STL,pass,0.2691940068828392,-4.415721266420678,1
4.0,15,75.0,3423.0,0.0,1,HOU,punt,0.4116421350375137,1.3950199236749137,0
4.0,2,72.0,2695.0,-7.0,2,HOU,punt,0.2139326096603235,-1.4929195924828944,0
4.0,14,70.0,2233.0,0.0,2,TEN,punt,0.4387904231453455,0.2346370784760385,0
4.0,8,20.0,1938.0,0.0,2,HOU,field_goal,0.582789091298246,0.528811064114532,0
4.0,6,72.0,1744.0,0.0,3,TEN,punt,0.4266058082948417,0.8824005333377527,0
4.0,1,63.0,1612.0,0.0,3,HOU,punt,0.4690174000530261,2.029690680910808,0
4.0,5,75.0,1442.0,-7.0,3,HOU,punt,0.1886591972473831,2.026140911785348,0
4.0,11,85.0,1342.0,7.0,3,TEN,punt,0.6224755671629959,1.0352619806464731,0
4.0,2,37.0,1152.0,-7.0,3,HOU,pass,0.2944318160016099,2.4906585627817095,1
4.0,1,57.0,904.0,0.0,3,TEN,punt,0.4727629841212749,-1.0808432914116288,0
4.0,4,70.0,851.0,0.0,4,HOU,punt,0.4476922826489535,0.1549506031546483,0
4.0,6,33.0,629.0,0.0,4,TEN,pass,0.5427110287253268,-3.25784793889074,1
4.0,1,58.0,532.0,0.0,4,HOU,punt,0.5051783182490849,-0.7189912042501352,0
